Id,Country,Location Name,Mag,Deaths,Death Description,Total Deaths,Total Death Description
2868.0,INDONESIA,"INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG",7.6,289.14285714285717,3.0,291.6190476190476,3.0
2973.0,INDONESIA,INDONESIA:  SANGIHE ISLAND,7.8,138.0,3.0,138.0,3.0
3005.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN,8.1,289.14285714285717,3.0,291.6190476190476,3.0
7865.0,INDONESIA,INDONESIA:  SUMATRA,,289.14285714285717,3.0,291.6190476190476,3.0
3749.0,INDONESIA,INDONESIA:   JAVA:  JOGYAKARTA,8.1,213.0,3.0,213.0,3.0
4731.0,INDONESIA,INDONESIA:  BALI,6.5,573.0,3.0,573.0,3.0
4746.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA,7.1,133.0,3.0,133.0,3.0
4909.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS,6.7,305.0,3.0,305.0,3.0
5150.0,INDONESIA,"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG",6.5,125.0,3.0,125.0,3.0
5207.0,INDONESIA,"INDONESIA:  KURIMA DISTRICT, BALIEM RIVER",5.8,120.0,3.0,120.0,3.0
5379.0,INDONESIA,"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG",6.9,207.0,3.0,207.0,3.0
5560.0,INDONESIA,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",7.9,103.0,3.0,103.0,3.0
10215.0,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,6.5,104.0,3.0,104.0,3.0
10351.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,6.9,560.0,3.0,560.0,3.0
10524.0,INDONESIA,"INDONESIA:  SULAWESI:  MAMUJU, MAJENE",6.2,105.0,3.0,105.0,3.0
10654.0,INDONESIA,INDONESIA: W JAVA: CIANJUR,5.6,635.0,3.0,635.0,3.0
4842.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,7.9,15.0,1.0,115.0,3.0
5385.0,INDONESIA,INDONESIA:  JAVA,7.8,8.63265306122449,1.0,238.0,3.0
