Search Parameters,Id,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Country,Area,Region,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Mw,Ms,Mb,Ml,Mfa,Unk,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
"[""1900 <= Year >= 2024""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9925.0,1900.0,1.0,10.0,,,,5459.0,,INDONESIA,,170.0,INDONESIA:  GALELA (HALMAHERA ISLAND),-0.03,127.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2566.0,1900.0,1.0,11.0,9.0,7.0,0.0,,,JAPAN,,30.0,JAPAN:  SEA OF JAPAN,36.5,133.5,,7.8,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
,2567.0,1900.0,1.0,14.0,,,,,,INDONESIA,,60.0,INDONESIA:  JAVA:  SUKABUMI,-6.84,106.96,,,,,,,,,7.0,,,,,,,,2.0,,,,3.0,,,,,,,,2.0,,,,3.0
,2569.0,1900.0,1.0,20.0,6.0,33.0,30.0,5896.0,,MEXICO,,150.0,MEXICO,20.0,-105.0,10.0,7.3,7.3,7.4,,,,,8.0,,2.0,,,,,,3.0,,3.0,,,,2.0,,,,,,3.0,,3.0,,
,2571.0,1900.0,5.0,16.0,20.0,12.0,0.0,5897.0,,MEXICO,,150.0,MEXICO:  NEAR COAST OF JALISCO,20.0,-105.0,60.0,6.9,,6.9,,,,7.8,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
,2572.0,1900.0,6.0,7.0,22.0,,0.0,,,VENEZUELA,,160.0,"VENEZUELA:  CASANAY (CASANAI),CARIACO",10.3,-63.3,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
,2573.0,1900.0,6.0,21.0,20.0,52.0,,,,COSTA RICA,,100.0,COSTA RICA,10.0,-85.5,60.0,7.5,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2574.0,1900.0,7.0,12.0,6.0,25.0,0.0,,,TURKEY,,140.0,"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR",40.3,43.1,,5.9,,5.9,,,,,8.0,140.0,3.0,,,,,,3.0,1100.0,4.0,900.0,3.0,140.0,3.0,,,,,,3.0,1100.0,4.0,900.0,3.0
,2575.0,1900.0,7.0,29.0,6.0,59.0,,,,SOLOMON ISLANDS,,170.0,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10.0,165.0,33.0,7.6,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6231.0,1900.0,8.0,11.0,4.0,40.0,0.0,2812.0,,USA,AK,150.0,ALASKA:  SE. ALASKA,58.6,-137.5,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,
,6232.0,1900.0,9.0,10.0,21.0,30.0,,1272.0,,PAPUA NEW GUINEA,,170.0,PAPUA NEW GUINEA:  BISMARCK SEA,-4.0,152.0,,6.8,,6.8,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0
,6234.0,1900.0,9.0,17.0,21.0,45.0,,1274.0,,PAPUA NEW GUINEA,,170.0,PAPUA NEW GUINEA:  RABAUL HARBOR,-5.0,148.0,,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2577.0,1900.0,9.0,18.0,,,,,,COLOMBIA,,160.0,COLOMBIA,4.6,-74.0,,7.9,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
,6574.0,1900.0,10.0,7.0,21.0,4.0,,1275.0,,INDONESIA,,170.0,INDONESIA:  NW. IRIAN JAYA,-4.0,140.0,33.0,6.9,,6.9,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,1.0,1.0,1.0,,
,2580.0,1900.0,10.0,9.0,12.0,25.0,,,,USA,AK,150.0,ALASKA:  KODIAK ISLAND,57.09,-153.48,,8.3,,8.3,,,,,8.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
,2583.0,1900.0,10.0,29.0,9.0,11.0,0.0,1276.0,,VENEZUELA,,90.0,VENEZUELA:  MACUTO,11.0,-66.0,,7.7,7.7,8.4,,,,,10.0,25.0,1.0,,,,,,3.0,,3.0,,3.0,25.0,1.0,,,,,,3.0,,3.0,,3.0
,2586.0,1900.0,12.0,25.0,5.0,9.0,0.0,,,RUSSIA,,50.0,RUSSIA:  KURIL ISLANDS,43.0,146.0,40.0,7.9,,,,,,7.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,
,2587.0,1901.0,1.0,7.0,0.0,29.0,0.0,,,ECUADOR,,160.0,ECUADOR:  ESMERALDAS,-2.0,-82.0,25.0,7.8,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
,2588.0,1901.0,2.0,15.0,,,,,,CHINA,,30.0,CHINA:  YUNNAN PROVINCE,26.0,100.1,,6.0,,6.0,,,,,8.0,,3.0,,,,,,3.0,,3.0,,,,3.0,,,,,,3.0,,3.0,,
