"Search Parameters"	"Id"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"Mw"	"Ms"	"Mb"	"Ml"	"Mfa"	"Unk"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1900 <= Year >= 2024""]"																																																
	9925	1900	1	10				5459		"INDONESIA"		170	"INDONESIA:  GALELA (HALMAHERA ISLAND)"	-0.03	127.25																																	
	2566	1900	1	11	9	7	0			"JAPAN"		30	"JAPAN:  SEA OF JAPAN"	36.5	133.5		7.8						7.8																									
	2567	1900	1	14						"INDONESIA"		60	"INDONESIA:  JAVA:  SUKABUMI"	-6.84	106.96									7								2				3								2				3
	2569	1900	1	20	6	33	30	5896		"MEXICO"		150	"MEXICO"	20	-105	10	7.3	7.3	7.4					8		2						3		3				2						3		3		
	2571	1900	5	16	20	12	0	5897		"MEXICO"		150	"MEXICO:  NEAR COAST OF JALISCO"	20	-105	60	6.9		6.9				7.8									1												1				
	2572	1900	6	7	22		0			"VENEZUELA"		160	"VENEZUELA:  CASANAY (CASANAI),CARIACO"	10.3	-63.3																	2																
	2573	1900	6	21	20	52				"COSTA RICA"		100	"COSTA RICA"	10	-85.5	60	7.5		7.5																													
	2574	1900	7	12	6	25	0			"TURKEY"		140	"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR"	40.3	43.1		5.9		5.9					8	140	3						3	1100	4	900	3	140	3						3	1100	4	900	3
	2575	1900	7	29	6	59				"SOLOMON ISLANDS"		170	"SOLOMON ISLANDS:  SANTA CRUZ ISLANDS"	-10	165	33	7.6		7.6																													
	6231	1900	8	11	4	40	0	2812		"USA"	"AK"	150	"ALASKA:  SE. ALASKA"	58.6	-137.5																						5	1										
	6232	1900	9	10	21	30		1272		"PAPUA NEW GUINEA"		170	"PAPUA NEW GUINEA:  BISMARCK SEA"	-4	152		6.8		6.8													1				1								1				1
	6234	1900	9	17	21	45		1274		"PAPUA NEW GUINEA"		170	"PAPUA NEW GUINEA:  RABAUL HARBOR"	-5	148		7.1	7.1																														
	2577	1900	9	18						"COLOMBIA"		160	"COLOMBIA"	4.6	-74		7.9						7.9																									
	6574	1900	10	7	21	4		1275		"INDONESIA"		170	"INDONESIA:  NW. IRIAN JAYA"	-4	140	33	6.9		6.9																		5	1						1	1	1		
	2580	1900	10	9	12	25				"USA"	"AK"	150	"ALASKA:  KODIAK ISLAND"	57.09	-153.48		8.3		8.3					8								1												1				
	2583	1900	10	29	9	11	0	1276		"VENEZUELA"		90	"VENEZUELA:  MACUTO"	11	-66		7.7	7.7	8.4					10	25	1						3		3		3	25	1						3		3		3
	2586	1900	12	25	5	9	0			"RUSSIA"		50	"RUSSIA:  KURIL ISLANDS"	43	146	40	7.9						7.9	9																								
	2587	1901	1	7	0	29	0			"ECUADOR"		160	"ECUADOR:  ESMERALDAS"	-2	-82	25	7.8						7.8																									
	2588	1901	2	15						"CHINA"		30	"CHINA:  YUNNAN PROVINCE"	26	100.1		6		6					8		3						3		3				3						3		3		
	7018	1901	3	3	7	45		1277		"USA"	"CA"	150	"CALIFORNIA:  SAN DIEGO"	36	-120.5		6.4				6.4			8								1												1				
	2589	1901	3	31	7	11				"BULGARIA"		110	"BULGARIA:  BALCHIK, KAVARNA, BLATNITSA, LIMANU"	43.4	28.7		6.4		6.4					8	4	1			50	1		3	1200	4	1200	4	4	1			50	1			1200	4		
	9778	1901	3	31	7	12		3725		"BULGARIA"		110	"BULGARIA:  BALCHIK"	43.4	28.5		7.2		7.2					10	4	1			50	1		3	1200	4			4	1			50	1		3	1200	4		
	2591	1901	4	5	22	30	0			"RUSSIA"		50	"RUSSIA:  KURIL ISLANDS"	45	148	30	7.5						7.5																									
	6575	1901	6	15			0	1278		"JAPAN"		30	"IWATE, JAPAN"	39	143	33																																
	2592	1901	6	24	7	2	0	1279		"JAPAN"		30	"JAPAN:  RYUKYU ISLANDS"	27	130	60	7.9						7.9																					1				
	2594	1901	8	9	9	23	30	1281		"JAPAN"		30	"JAPAN:  OFF NORTHEAST COAST HONSHU"	40.5	142.5	33	7.9		7.9													2												2				
