Id,Country,Location Name,Missing,Missing Description,Total Missing,Total Missing Description
10369.0,INDONESIA,INDONESIA:  SULAWESI,667.0,3.0,667.0,3.0
10524.0,INDONESIA,"INDONESIA:  SULAWESI:  MAMUJU, MAJENE",3.0,1.0,3.0,1.0
10654.0,INDONESIA,INDONESIA: W JAVA: CIANJUR,5.0,1.0,5.0,1.0
3227.0,JAPAN,"JAPAN:  TOKYO, YOKOHAMA",43476.0,4.0,43476.0,4.0
10727.0,JAPAN,JAPAN: HONSHU: ISHIKAWA,3.0,1.0,3.0,1.0
8210.0,COSTA RICA,COSTA RICA:  LA PAZ,17.0,1.0,17.0,1.0
5512.0,COLOMBIA,"COLOMBIA:  ARMENIA, CALARCA, PEREIRA, CALDAS, HUILA",700.0,3.0,700.0,3.0
5404.0,COLOMBIA,"COLOMBIA:  CALI, PEREIRA, ARMENIA, CALARCA",,,1.0,1.0
10176.0,ECUADOR,"ECUADOR:  NEAR WEST COAST: MANABI, ESMERALDAS",9.0,1.0,9.0,1.0
8995.0,CHINA,CHINA:  GUIZHOU PROVINCE,1.0,1.0,1.0,1.0
9978.0,CHINA,CHINA:  SICHUAN PROVINCE:  LONGMEN,21.0,1.0,21.0,1.0
10106.0,CHINA,"CHINA:  YUNNAN:  LUDIAN:   LONGTOUSHAN, ZHAOTONG",114.0,3.0,114.0,3.0
9870.0,PHILIPPINES,PHILIPPINES:  NEGROS ORIENTAL PROVINCE,62.0,2.0,62.0,2.0
10048.0,PHILIPPINES,"PHILIPPINES:  BOHOL, CEBU, SIQUIJOR IS",8.0,1.0,8.0,1.0
10406.0,PHILIPPINES,PHILIPPINES:  PAMPANGA PROVINCE,3.0,1.0,3.0,1.0
10462.0,PHILIPPINES,PHILIPPINES:  MINDANAO:  DAVAO,1.0,1.0,1.0,1.0
10454.0,PHILIPPINES,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",,,4.0,1.0
10455.0,PHILIPPINES,"PHILIPPINES:  COTABATO, SULTAN KUDARAT",,,4.0,1.0
10194.0,ITALY,"ITALY:  ACCUMOLI, ARQUATA, AMATRICE",15.0,1.0,15.0,1.0
10737.0,TAIWAN,TAIWAN:  HUA-LIEN,2.0,1.0,2.0,1.0
10156.0,CHILE,CHILE:  CENTRAL,1.0,1.0,1.0,1.0
5601.0,PERU,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",68.0,2.0,138.0,3.0
3605.0,PERU,"PERU:  HUANCABAMBA,OXAPAMPA,EL PROGRESO,SAN DAVID",,,,1.0
5694.0,ALGERIA,"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",800.0,3.0,800.0,3.0
10134.0,NEPAL,NEPAL:   KATHMANDU; INDIA; CHINA; BANGLADESH,3.0,1.0,3.0,1.0
5167.0,NEPAL,"NEPAL-INDIA:  KATHMANDU, BIHAR",,,3.0,1.0
10563.0,HAITI,HAITI,329.0,3.0,329.0,3.0
5011.0,GUINEA,GUINEA:  GAOUAL-KOUMBIA,200.0,3.0,200.0,3.0
7221.0,MEXICO,MEXICO:  CHIAPAS,,,1755.0,4.0
3124.0,USA TERRITORY,PUERTO RICO:  MONA PASSAGE,,,100.0,2.0
5164.0,MYANMAR (BURMA),"MYANMAR (BURMA);  INDIA:  GAUHATI, SIBSAGAR, IMPHAL",,,30.0,1.0
9925.0,INDONESIA,INDONESIA:  GALELA (HALMAHERA ISLAND),,,,
2567.0,INDONESIA,INDONESIA:  JAVA:  SUKABUMI,,,,
6574.0,INDONESIA,INDONESIA:  NW. IRIAN JAYA,,,,
2645.0,INDONESIA,INDONESIA:  S OF JAVA,,,,
6237.0,INDONESIA,"INDONESIA:  TIFU, MASARETE, KAJELI",,,,
6242.0,INDONESIA,INDONESIA:  S. JAVA,,,,
2702.0,INDONESIA,INDONESIA:  MINAHASSA PENINSULA,,,,
2800.0,INDONESIA,"INDONESIA:  NW SUMATRA:  GUNUNGSITOLi, BARUS",,,,
6246.0,INDONESIA,INDONESIA:  TALAUD ISLANDS:  KARAKELONG ISLAND,,,,
2813.0,INDONESIA,INDONESIA:  DJAILOLO GILOLO,,,,
2814.0,INDONESIA,"INDONESIA:  SULAWESI:  LEMO, COLO, ANJA, OLU CONGKO",,,,
6250.0,INDONESIA,SW. SUMATRA,,,,
7527.0,INDONESIA,INDONESIA:  TIMOR,,,,
2836.0,INDONESIA,INDONESIA:  CELEBES SEA,,,,
2868.0,INDONESIA,"INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG",,,,
2917.0,INDONESIA,INDONESIA:  TALAUD ISLANDS,,,,
6576.0,INDONESIA,INDONESIA:  SULAWESI-N. MOLUCCAS ISLANDS,,,,
2973.0,INDONESIA,INDONESIA:  SANGIHE ISLAND,,,,
3005.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN,,,,
3010.0,INDONESIA,INDONESIA:  SUMATERA,,,,
6264.0,INDONESIA,INDONESIA:  KAIMANA,,,,
6542.0,INDONESIA,INDONESIA:  NW. IRIAN JAYA,,,,
3046.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,,,,
3047.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,,,,
3064.0,INDONESIA,INDONESIA:  JAVA,,,,
3072.0,INDONESIA,INDONESIA:  BALI,,,,
3094.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
3128.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
9798.0,INDONESIA,INDONESIA:  IRIAN JAYA REGION,,,,
6581.0,INDONESIA,INDONESIA:  N. MOLUCCAS ISLANDS,,,,
3173.0,INDONESIA,"INDONESIA:  SANGKULIRANG,RENDING,KARIORANG,SEKURAN",,,,
3175.0,INDONESIA,INDONESIA:  S OF JAVA,,,,
3178.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  SENTANI,,,,
6275.0,INDONESIA,INDONESIA:  BANDA,,,,
6276.0,INDONESIA,SW. SUMATRA,,,,
6278.0,INDONESIA,"LHOKNGA, ACEH",,,,
3221.0,INDONESIA,INDONESIA:  JAVA:  MAOS,,,,
3235.0,INDONESIA,INDONESIA:  DJAILOLO GILOLO,,,,
3254.0,INDONESIA,INDONESIA:  JAVA,,,,
3256.0,INDONESIA,INDONESIA:  JAVA:  WONOSOBO,,,,
6294.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
3290.0,INDONESIA,INDONESIA:  SUMATERA,,,,
7865.0,INDONESIA,INDONESIA:  SUMATRA,,,,
3297.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,,,,
3300.0,INDONESIA,"INDONESIA:  JAVA:  PRUPUK,MARGARSARI,DUBUKTENGAH",,,,
3339.0,INDONESIA,INDONESIA:  SULAWESI:  DONGGALA,,,,
6085.0,INDONESIA,JAVA-S. JAVA SEA,,,,
6086.0,INDONESIA,S. JAVA SEA,,,,
6087.0,INDONESIA,INDONESIA:  AMURANG ISLAND,,,,
6320.0,INDONESIA,SW. SUMATRA,,,,
3487.0,INDONESIA,"INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO",,,,
6094.0,INDONESIA,"INDONESIA:  AMBON ISLAND, CERAM ISLAND",,,,
3521.0,INDONESIA,INDONESIA:  S SUMATERA,,,,
10466.0,INDONESIA,INDONESIA:  S SUMATERA,,,,
6106.0,INDONESIA,INDONESIA:  CELEBES SEA,,,,
3567.0,INDONESIA,"INDONESIA:  N SUMATERA:  BATU I,PADANG,SIBOLGA",,,,
3572.0,INDONESIA,INDONESIA:  TALAUD ISLANDS,,,,
