Id,Country,Location Name,Mag,Deaths,Houses Destroyed,Houses Damaged
2868.0,INDONESIA,"INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG",7.6,289.14285714285717,675.2222222222222,448.06060606060606
10215.0,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,6.5,104.0,245.0,18752.0
10351.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,6.9,560.0,675.2222222222222,83392.0
10524.0,INDONESIA,"INDONESIA:  SULAWESI:  MAMUJU, MAJENE",6.2,105.0,1150.0,7863.0
10654.0,INDONESIA,INDONESIA: W JAVA: CIANJUR,5.6,635.0,13633.0,42645.0
3600.0,INDONESIA,"INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN",7.2,1.0,326.0,2200.0
4178.0,INDONESIA,INDONESIA:  JAVA:  MALANG,6.7,8.0,95.0,206.0
4993.0,INDONESIA,INDONESIA:  CENTRAL SULAWESI,6.1,2.0,20.0,4.0
5504.0,INDONESIA,"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR",6.6,1.0,38.0,62.0
5656.0,INDONESIA,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",7.6,8.0,1000.0,900.0
5696.0,INDONESIA,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",7.0,1.0,28.0,20.0
5810.0,INDONESIA,INDONESIA:  KEPULAUAN ALOR,7.5,34.0,781.0,16712.0
5844.0,INDONESIA,INDONESIA:  JAVA:  GARUT,4.8,1.0,83.5,721.25
7574.0,INDONESIA,INDONESIA:  SUMATRA,8.4,25.0,56425.0,20749.0
8552.0,INDONESIA,INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI,6.6,3.0,675.2222222222222,448.06060606060606
9938.0,INDONESIA,"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",6.3,6.0,471.0,1097.0
10149.0,INDONESIA,INDONESIA:  PAPUA,7.0,1.0,1.0,6.0
10348.0,INDONESIA,INDONESIA: SUMATRA: SOLOK,5.2,1.0,2.0,448.06060606060606
10349.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,6.4,17.0,5448.0,448.06060606060606
10584.0,INDONESIA,INDONESIA:  SULAWESI,6.1,1.0,20.761904761904763,17.76923076923077
10374.0,INDONESIA,INDONESIA:  SULAWESI:  MAMASA,5.5,7.0,8.0,448.06060606060606
10399.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,5.6,6.0,843.0,3613.0
10426.0,INDONESIA,INDONESIA:  MOLUCCA ISLANDS:  N,7.3,8.0,1176.0,1158.0
10431.0,INDONESIA,INDONESIA:  JAVA:  BANTEN,6.9,8.0,13.0,458.0
10448.0,INDONESIA,INDONESIA:  MALUKU:  AMBON,6.5,31.0,20.761904761904763,2675.0
10539.0,INDONESIA,"INDONESIA: JAVA: LUMAJANG, MALANG",6.0,10.0,85.0,3024.0
10585.0,INDONESIA,"INDONESIA:  BALI: KARANGASEM, BANGLI",5.1,3.0,366.0,524.0
10603.0,INDONESIA,"INDONESIA: W SUMATRA: PASAMAN, WEST PASAMAN",6.2,27.0,103.0,4800.0
10658.0,INDONESIA,INDONESIA:  BANDA SEA,7.6,1.0,37.0,327.0
10664.0,INDONESIA,INDONESIA: NEW GUINEA: IRIAN JAYA: JAYAPURA,5.1,4.0,15.0,28.0
10700.0,INDONESIA,INDONESIA: JAVA: YOGYAKARTA,5.8,1.0,3.0,433.0
5823.0,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,9.1,1001.0,675.2222222222222,448.06060606060606
6657.0,INDONESIA,INDONESIA:  SUMATERA:  SW,8.6,1303.0,300.0,300.0
7245.0,INDONESIA,"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA",6.3,5749.0,127000.0,127000.0
8409.0,INDONESIA,INDONESIA:  SUMATRA:  PADANG,7.5,1117.0,675.2222222222222,181665.0
10369.0,INDONESIA,INDONESIA:  SULAWESI,7.5,4340.0,3673.0,39191.0
4394.0,INDONESIA,"INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK",6.8,54.0,2000.0,5000.0
7481.0,INDONESIA,INDONESIA:  SUMATRA:  SOUTHERN,6.4,67.0,43719.0,20749.0
2717.0,JAPAN,JAPAN:  AKI,7.8,11.0,59.0,59.0
4238.0,JAPAN,JAPAN:  MIYAZAKI,7.3,2.0,170.0,170.0
4322.0,JAPAN,JAPAN:  HONSHU:  W COAST,7.5,26.0,2250.0,2250.0
4788.0,JAPAN,"JAPAN:  TOKKAIDO, OSHIMA",6.6,25.0,85.0,544.0
8164.0,JAPAN,JAPAN:  HONSHU:  N,6.8,1.0,90.0,90.0
10360.0,JAPAN,JAPAN:  HOKKAIDO,6.6,44.0,390.38461538461536,15000.0
10529.0,JAPAN,JAPAN:  OFF FUKUSHIMA,7.1,1.0,798.0,19758.0
10605.0,JAPAN,JAPAN:  OFF FUKUSHIMA,7.3,4.0,217.0,56718.0
10692.0,JAPAN,"JAPAN: HONSHU: ISHIKAWA, TOYAMA",6.2,1.0,3.0,351.0
10177.0,JAPAN,"JAPAN:  KUMAMOTO, OITA",7.0,273.0,43386.0,163500.0
10727.0,JAPAN,JAPAN: HONSHU: ISHIKAWA,7.5,299.0,29756.0,98598.0
3306.0,JAPAN,JAPAN:  HONSHU:  SW,7.3,3022.0,15594.0,9821.0
3884.0,JAPAN,JAPAN:  FUKUI,7.3,5131.0,63000.0,18543.0
5399.0,JAPAN,"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA",6.9,6434.0,186175.0,274182.0
9799.0,JAPAN,JAPAN:  HONSHU,9.1,1475.0,2473.0,5618.0
10266.0,MEXICO,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",8.2,98.0,47468.0,94027.0
5673.0,MEXICO,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",7.5,29.0,2005.0,6615.0
10102.0,MEXICO,MEXICO; GUATEMALA:  SAN MARCOS,6.9,3.0,6.5,50.0
10645.0,MEXICO,"MEXICO:  MICHOACAN, COLIMA, JALISCO",7.6,2.0,800.0,6084.0
2932.0,MEXICO,"MEXICO: COLIMA, JALISCO, MEXICO CITY",7.6,463.4,24736.5,34607.333333333336
10267.0,MEXICO,"MEXICO: MEXICO CITY, MORELOS, PUEBLA",7.1,369.0,226.0,184000.0
10161.0,VENEZUELA,VENEZUELA:  MERIDA,5.3,1.0,33.0,83.0
3948.0,VENEZUELA,VENEZUELA: EL TOCUYO,6.4,100.0,31.5,20.8
2574.0,TURKEY,"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR",5.9,140.0,1100.0,900.0
3353.0,TURKEY,"TURKEY:  TEPEKOY, TORBALI",6.5,170.0,2600.0,455.0
5692.0,TURKEY,TURKEY:  BINGOL,6.4,177.0,718.0,718.0
9845.0,TURKEY,"TURKEY:  ERCIS, VAN",7.1,604.0,5739.0,4882.0
10521.0,TURKEY,GREECE:  SAMOS; TURKEY:  IZMIR,7.0,117.0,74.5,145191.45454545456
4125.0,TURKEY,"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)",7.3,18.0,3000.0,5000.0
9995.0,TURKEY,TURKEY:  YALOVA:  CINARCIK,6.2,1.0,7.0,163.0
4460.0,TURKEY,"TURKEY:  BARTIN, AMASRA, CAKRAZ",6.6,24.0,2000.0,2000.0
4549.0,TURKEY,TURKEY:  SIVAS,4.9,1.0,150.0,150.0
5767.0,TURKEY,TURKEY:  ERZURUM,5.6,10.0,45.0,45.0
6779.0,TURKEY,TURKEY:  IZMIR,5.9,1.0,74.5,90.0
10260.0,TURKEY,"TURKEY: BODRUM, DATCA; GREECE: KOS",6.6,2.0,30.666666666666668,31.2
10475.0,TURKEY,TURKEY:  ELAZIG AND MALATYA PROVINCES,6.7,41.0,76.0,145191.45454545456
2955.0,TURKEY,TURKEY:  MARMARA SEA,7.2,2800.0,24700.0,15400.0
4523.0,TURKEY,TURKEY:  GEDIZ,7.2,1086.0,8229.0,8229.0
10662.0,TURKEY,TURKEY: KAHRAMANMARAS; SYRIA,7.8,56697.0,542461.0,1474182.0
8892.0,TURKEY,"TURKEY:  ELAZIG PROVINCE:  OKCULAR, YUKARI DEMIRCI",6.1,51.0,287.0,287.0
10218.0,SOLOMON ISLANDS,SOLOMON ISLANDS,7.8,1.0,191.0,126.0
